Source title,CiteScore,Highest percentile,2021-24 Citations,2021-24 Documents,% Cited,SNIP,SJR,Publisher
Advanced Electronic Materials,10.7,"87.0%
38/305
Electronic, Optical and Magnetic Materials",16509.0,1547.0,88.0,1.241,1.478,John Wiley & Sons
Electrochimica Acta,10.6,"87.0%
34/274
General Chemical Engineering",64636.0,6097.0,88.0,0.944,1.106,Elsevier
Journal of Molecular Liquids,10.5,"92.0%
34/443
Condensed Matter Physics",114614.0,10964.0,84.0,1.205,0.935,Elsevier
Arabian Journal of Chemistry,10.4,"87.0%
35/274
General Chemical Engineering",27280.0,2623.0,88.0,1.24,0.888,Elsevier
ACS Applied Energy Materials,10.2,"90.0%
97/970
Electrical and Electronic Engineering",55479.0,5450.0,86.0,0.871,1.378,American Chemical Society
Surface and Coatings Technology,10.2,"91.0%
38/443
Condensed Matter Physics",42060.0,4105.0,87.0,1.593,1.211,Elsevier
Nanoscale,9.9,"83.0%
76/460
General Materials Science",69515.0,7053.0,82.0,0.934,1.245,Royal Society of Chemistry
Inorganic Chemistry Frontiers,9.9,"90.0%
8/81
Inorganic Chemistry",25001.0,2532.0,81.0,0.949,1.276,Royal Society of Chemistry
Materials Research Bulletin,9.9,"91.0%
61/720
Mechanical Engineering",15924.0,1607.0,87.0,1.0,0.943,Elsevier
Polymers,9.7,"85.0%
58/404
Mechanical Engineering",27194.0,2828.0,90.0,0.863,1.154,John Wiley & Sons
Colloids and Surfaces A: Physicochemical and Engineering Aspects,9.6,"85.0%
28/187
Physical and Theoretical Chemistry",84824.0,8882.0,86.0,0.999,0.944,Elsevier
Results in Physics,9.6,"89.0%
27/246
General Physics and Astronomy",34959.0,3630.0,82.0,1.244,0.699,Elsevier
Energy and Fuels,9.5,"86.0%
38/274
General Chemical Engineering",57124.0,6022.0,84.0,1.145,1.124,American Chemical Society
Materials Advances,9.5,"83.0%
21/124
Chemistry (miscellaneous)",25508.0,2684.0,80.0,1.116,1.115,Royal Society of Chemistry
Journal of Materials Research and Technology,9.5,"88.0%
21/175
Metals and Alloys",93494.0,9846.0,83.0,1.749,1.318,Elsevier
Journal of Materials Chemistry C,9.3,"85.0%
60/404
General Chemistry",64054.0,6866.0,81.0,1.003,1.22,Royal Society of Chemistry
Optics and Laser Technology,9.2,"87.0%
121/970
Electrical and Electronic Engineering",40355.0,4383.0,88.0,1.623,1.0,Elsevier
Journal of Physics and Chemistry of Solids,9.2,"89.0%
47/443
Condensed Matter Physics",20430.0,2214.0,88.0,0.991,0.816,Elsevier
Nanomaterials,9.2,"85.0%
39/274
Inorganic Chemistry",17843.0,1931.0,91.0,1.109,0.81,Springer Nature
IEEE Access,9.0,"90.0%
32/344
General Engineering",402859.0,44988.0,78.0,1.504,0.849,IEEE
International Journal of Molecular Sciences,9.0,"90.0%
21/212
Infectious Diseases",52177.0,5772.0,83.0,1.191,1.393,Frontiers Media S.A.
